Case Ref No,Industry,LGA,WSP,Received Date,Finalisation Date,Offences,Finalisation Reason
00964-2020,Crop / horticulture,Warrumbungle,Castlereagh River Unregulated and Alluvial Water Sources ,May-20,Dec-20,91D(2)-tier 2 - Constructing or using a flood work with a flood work approval-but not in accordance with the flood work approval,Medium priority – potential M&A audit
00966-2019,Unknown,Narrabri,Upper and Lower Namoi Groundwater Sources ,Oct-19,Mar-20,"60A(2)-tier 2 - Taking water without an access licence, 91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval",No breach – exempt
00966-2020,Development,Mid-Coast,Lower North Coast Unregulated and Alluvial Water Sources ,May-20,Dec-20,"345(1)-tier 1 - Causing harm to aquifers or waterfront land, 91E(2)-tier 2 - Carrying out a controlled activity with a controlled activity approval-but not in accordance with the controlled activity approval",Breach – enforcement response completed
00967-2019,Crop / horticulture,Tamworth Regional,Namoi Unregulated and Alluvial Water Sources ,Oct-19,Sep-20, ,No breach - insufficient evidence
00968-2019,Unknown,Tweed,Tweed River Area Unregulated and Alluvial Water Sources ,Oct-19,Apr-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,Breach – enforcement response completed
00969-2019,Development,Wollondilly,Greater Metropolitan Region Unregulated River Water Sources ,Oct-19,Nov-19, ,Low priority
00969-2020,Development,Bathurst Regional,Macquarie Bogan Unregulated and Alluvial Water Sources ,May-20,Nov-20,"345(1)-tier 1 - Causing harm to aquifers or waterfront land, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",Breach – enforcement response completed
00970-2019,Animal,Tamworth Regional,"Peel Valley Regulated, Unregulated, Alluvium and Fractured Rock Water Sources ",Oct-19,Feb-20,91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval,Breach – enforcement response completed
00971-2019,Development,Mid-Western Regional,Macquarie Bogan Unregulated and Alluvial Water Sources ,Oct-19,May-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,Breach – enforcement response completed
00973-2019,Irrigation,Tamworth Regional,"Peel Valley Regulated, Unregulated, Alluvium and Fractured Rock Water Sources ",Oct-19,May-20,"340A(1) - Neglect or fail to comply with a requirement made under this Part., 91I - Taking water when metering equipment not working",Breach – enforcement response completed
00973-2020,Development,Campbelltown,Greater Metropolitan Region Unregulated River Water Sources ,May-20,Oct-20,"345(1)-tier 1 - Causing harm to aquifers or waterfront land, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",Breach - Referred to NRAR Licencing & Approvals
00974-2019,Unknown,Forbes,Lachlan Unregulated and Alluvial Water Sources ,Oct-19,Sep-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,No breach – other
00975-2019,Irrigation,Narromine,Lower Macquarie Groundwater Source ,Oct-19,Mar-20,91I - Taking water when metering equipment not working,Breach – enforcement response completed
00977-2019,Unknown,Warrumbungle,Castlereagh River Unregulated and Alluvial Water Sources ,Oct-19,Nov-19,"60A - Taking water without, or otherwise than authorised by, an access licence",Low priority
00978-2019,Other,Kyogle,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Oct-19,Nov-19,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",Low priority
00980-2019,Crop / horticulture,Lismore,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Oct-19,Aug-20,60B - Contravention of terms and conditions of access licence,No breach - insufficient evidence
00980-2020,Development,Glen Innes Severn Shire,NSW Border Rivers Unregulated and Alluvial Water Sources ,Jun-20,Sep-20,91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval,Breach – enforcement response completed
00981-2019,Unknown,Cowra,Lachlan Unregulated and Alluvial Water Sources ,Oct-19,Nov-19, ,No breach – other
00982-2020,Crop / horticulture,Clarence Valley,North Coast Fractured and Porous Rock Groundwater Sources ,Jun-20,Aug-20,"345(1)-tier 1 - Causing harm to aquifers or waterfront land, 91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval",No breach - insufficient evidence
00985-2019,Other,Orange,Macquarie Bogan Unregulated and Alluvial Water Sources ,Oct-19,Dec-19,"60A - Taking water without, or otherwise than authorised by, an access licence, 60B - Contravention of terms and conditions of access licence, 91A - Using water without, or otherwise than as authorised by, a water use approval",Low priority
00986-2019,Unknown,Mid-Coast,Lower North Coast Unregulated and Alluvial Water Sources ,Oct-19,Jan-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 60C - Taking water for which there is no, or insufficient, water allocation",Breach – enforcement response completed
00986-2020,Residential,Hilltops,Lachlan Unregulated and Alluvial Water Sources ,Jun-20,Jul-20, ,No breach – other
00987-2019,Irrigation,Cowra,Lachlan Unregulated and Alluvial Water Sources ,Oct-19,Dec-20,91I(2)-tier 2 - Taking water using a metered work while its metering equipment is not operating properly or is not operating,Breach – enforcement response completed
00988-2019,Unknown,Mid-Coast,Lower North Coast Unregulated and Alluvial Water Sources ,Oct-19,Jan-20,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation, 91A - Using water without, or otherwise than as authorised by, a water use approval",Breach – enforcement response completed
00988-2020,Animal,Eurobodalla,Tuross River Unregulated and Alluvial Water Sources ,Jun-20,Oct-20,"345(2)-tier 2 - Causing harm to aquifers or waterfront land, 91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",No breach – other
00989-2019,Crop / horticulture,Kempsey,North Coast Coastal Sands Groundwater Sources ,Oct-19,Apr-20,"91B(2)-tier 2 - Constructing or using a water supply work with a water supply work approval-but not in accordance with the water supply work approval (Includes constructing or using the work while the water supply work approval is suspended), 91G(1), (2)-tier 2 - Using water with a water use approval-but not in accordance with the terms or conditions of the approval",Breach – enforcement response completed
00990-2019,Unknown,Mid-Coast,Lower North Coast Unregulated and Alluvial Water Sources ,Oct-19,Jan-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",No breach - insufficient evidence
00991-2019,Unknown,Mid-Coast,Lower North Coast Unregulated and Alluvial Water Sources ,Oct-19,Jan-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",No breach - insufficient evidence
00992-2019,Unknown,Bega Valley,Towamba River Unregulated and Alluvial Water Sources ,Oct-19,May-20,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",Breach – enforcement response completed
00993-2019,Animal,Greater Hume,Lower North Coast Unregulated and Alluvial Water Sources ,Oct-19,Nov-19,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,Low priority
00994-2019,Unknown,Gunnedah,Namoi Unregulated and Alluvial Water Sources ,Oct-19,Sep-20,"60C - Taking water for which there is no, or insufficient, water allocation",No breach – exempt
00995-2019,Development,Armidale Regional,Gwydir Unregulated and Alluvial Water Sources ,Oct-19,Nov-19,"91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",No breach – other
00996-2019,Unknown,Gunnedah,Upper Namoi and Lower Namoi Regulated River Water Sources ,Oct-19,Feb-20,"60C - Taking water for which there is no, or insufficient, water allocation",No breach – other
00997-2019,Unknown,,Namoi Unregulated and Alluvial Water Sources ,Oct-19,Feb-20,"60C - Taking water for which there is no, or insufficient, water allocation",No breach – other
00997-2020,Development,Wollondilly,Greater Metropolitan Region Unregulated River Water Sources ,Jun-20,Jul-20,"345(2)-tier 2 - Causing harm to aquifers or waterfront land, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",Duplicate Entry - refer to linked notification
00998-2019,Irrigation,Dubbo Regional,Macquarie Bogan Unregulated and Alluvial Water Sources ,Oct-19,Oct-19, ,Low priority
00999-2019,Development,Shoalhaven,Greater Metropolitan Region Unregulated River Water Sources ,Oct-19,Jan-20,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",No breach – other
00999-2020,Crop / horticulture,Liverpool,Greater Metropolitan Region Unregulated River Water Sources ,Jun-20,Sep-20,"345(1)-tier 1 - Causing harm to aquifers or waterfront land, 91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval",Low priority
01000-2019,Irrigation,Narrabri,Upper Namoi and Lower Namoi Regulated River Water Sources ,Oct-19,Feb-20,"60C - Taking water for which there is no, or insufficient, water allocation",No breach – other
01001-2019,Unknown,Shoalhaven,Greater Metropolitan Region Unregulated River Water Sources ,Oct-19,Jan-20,"60A - Taking water without, or otherwise than authorised by, an access licence",No breach – other
01002-2019,Irrigation,Narrabri,Namoi Unregulated and Alluvial Water Sources ,Oct-19,Feb-20,"60C - Taking water for which there is no, or insufficient, water allocation",No breach – other
01003-2019,Unknown,Gunnedah,Namoi Unregulated and Alluvial Water Sources ,Oct-19,Feb-20,"60C - Taking water for which there is no, or insufficient, water allocation",No breach – other
01004-2019,Animal,,NSW Murray Darling Basin Porous Rock Groundwater Sources ,Oct-19,Feb-20,"60C - Taking water for which there is no, or insufficient, water allocation",No breach – other
01004-2020,Crop / horticulture,Bega Valley,Towamba River Unregulated and Alluvial Water Sources ,Jun-20,Oct-20,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",Breach – enforcement response completed
01005-2019,Unknown,Gunnedah,Namoi Unregulated and Alluvial Water Sources ,Oct-19,Feb-20, ,No breach – other
